latitude,longitude,DepthInMeters,ObservationDate
25.275,-84.25,159,8/2/1981
25.747,-84.35,159,7/26/1981
25.747,-84.35,159,7/26/1981
25.275,-84.25,159,8/2/1981
25.275,-84.25,159,2/10/1982
25.747,-84.35,159,2/7/1982
25.747,-84.35,159,7/26/1981
25.747,-84.35,159,7/26/1981
25.747,-84.35,159,7/26/1981
25.747,-84.35,159,7/26/1981
25.747,-84.35,159,2/7/1982
25.275,-84.25,159,8/2/1981
25.275,-84.25,159,2/10/1982
25.275,-84.25,159,2/10/1982
25.747,-84.35,159,2/7/1982
25.275,-84.25,159,8/2/1981
25.747,-84.35,159,7/26/1981
25.747,-84.35,159,2/7/1982
27.873,-91.85,175,4/11/1976
27.818,-93.66,114,4/25/1976
28.663,-89.82,97,1981
28.663,-89.82,97,1981
28.663,-89.82,97,1981
27.713,-91.25,751,5/23/1985
27.759,-91.23,465,6/11/1985
27.413,-92.63,1136,6/8/1985
27.752,-92.49,552,6/9/1985
27.327,-91.52,1203,6/13/1985
27.712,-91.55,543,6/10/1985
27.712,-91.55,543,6/10/1985
27.77,-84.1,57,4/12/1962
27.14,-93.39,828,4/8/1984
27.518,-89.82,1064,11/15/1984
28.119,-86.29,834,5/17/1985
28.373,-86.81,851,5/21/1985
27.413,-92.63,1136,6/8/1985
28.226,-86.11,618,5/17/1985
28.316,-86.32,613,5/17/1985
28.373,-86.81,851,5/21/1985
28.018,-85.66,629,5/16/1985
28.226,-86.11,618,5/17/1985
28.119,-86.29,834,5/17/1985
28.1,-86.59,1170,4/18/1984
27.587,-92.38,775,6/9/1985
27.905,-90.13,632,11/13/1984
27.816,-90.13,803,11/18/1984
27.742,-90.03,965,12/7/1984
28.584,-86.76,625,5/13/1985
28.1,-86.59,1170,4/18/1984
28.316,-86.32,613,5/17/1985
28.267,-86.6,843,5/20/1985
27.327,-91.52,1203,6/13/1985
27.587,-92.38,775,6/9/1985
27.713,-91.25,751,5/23/1985
27.8,-90.06,850,11/27/1983
28.316,-86.32,613,5/17/1985
28.127,-85.86,628,5/16/1985
28.018,-85.66,629,5/16/1985
28.16,-86.4,871,5/18/1985
28.499,-86.97,812,5/13/1985
28.119,-86.29,834,5/17/1985
28.267,-86.6,843,5/20/1985
28.127,-85.86,628,5/16/1985
28.278,-86.2,616,5/17/1985
28.018,-85.66,629,5/16/1985
25.22,-84.25,183,6/9/1959
27.712,-91.55,543,6/10/1985
27.785,-91.77,298,6/10/1985
28.293,-86.25,622,4/16/1984
27.785,-91.77,298,6/10/1985
27.716,-92.87,369,6/7/1985
28.293,-86.25,622,4/16/1984
28.48,-87.0,852,5/13/1985
27.712,-91.55,543,6/10/1985
29.1,-88.32,475,3/13/1955
29.43,-87.58,81,1/9/1957
27.716,-91.3,592,3/5/1987
26.792,-96.89,49,9/27/1962
29.25,-88.5,110,5/3/1956
26.278,-84.07,137,7/25/1981
25.0,-84.0,128,7/14/1965
29.17,-87.9,878,12/17/1962
25.68,-84.33,87,3/30/1960
27.873,-91.85,175,4/11/1976
28.018,-86.2,1103,4/22/1987
27.797,-85.36,620,4/21/1987
28.446,-86.88,800,4/23/1987
27.835,-85.73,1077,4/21/1987
29.23,-88.33,88,2/2/1961
26.274,-84.06,139,2/1/1988
26.274,-84.06,139,2/1/1988
26.274,-84.06,139,2/1/1988
26.274,-84.06,139,2/1/1988
26.274,-84.06,139,2/1/1988
26.276,-84.07,144,2/3/1988
26.276,-84.07,144,2/3/1988
26.276,-84.07,144,2/3/1988
26.276,-84.07,144,2/3/1988
26.276,-84.07,144,2/3/1988
26.276,-84.07,144,2/3/1988
26.276,-84.07,144,2/3/1988
25.273,-84.25,163,2/4/1988
25.273,-84.25,163,2/4/1988
25.273,-84.25,163,2/4/1988
25.273,-84.25,163,2/4/1988
25.273,-84.25,163,2/4/1988
25.273,-84.25,163,2/4/1988
25.273,-84.25,163,2/4/1988
25.273,-84.25,163,2/4/1988
25.273,-84.25,163,2/4/1988
29.25,-88.27,91,3/26/1958
26.5,-84.83,640,11/12/1983
26.5,-84.83,640,11/12/1983
26.5,-84.83,640,11/12/1983
25.275,-84.25,159,8/2/1981
29.408,-88.02,64,1885-03-04
25.275,-84.25,159,2/10/1982
25.275,-84.25,159,8/2/1981
25.275,-84.25,159,2/10/1982
25.275,-84.25,159,8/2/1981
25.275,-84.25,159,8/2/1981
