decimallongitude,decimallatitude,date_year,scientificname,depth
149.4236298,-20.92591667,,Montipora foliosa,5.0
149.4236298,-20.92591667,,Montipora foliosa,2.0
149.4430847,-20.90373421,,Montipora foliosa,5.0
179.4299927,-17.85000038,,Montipora foliosa,
37.90620041,-0.023559101,1992.0,Montipora foliosa,
145.01667,-16.58333,1974.0,Montipora foliosa,
152.16666,-23.95,1954.0,Montipora foliosa,
152.16666,-23.95,1954.0,Montipora foliosa,
152.16666,-23.95,1954.0,Montipora foliosa,
152.16666,-23.95,1954.0,Montipora foliosa,
145.56,-16.38,1954.0,Montipora foliosa,
146.55,-18.66667,,Montipora foliosa,
151.91666,-23.45,,Montipora foliosa,
151.91666,-23.45,,Montipora foliosa,
145.56,-16.38,,Montipora foliosa,
151.91666,-23.45,1950.0,Montipora foliosa,
151.28333,-23.53333,1954.0,Montipora foliosa,
146.88333,-18.48333,,Montipora foliosa,
147.75,-18.91667,,Montipora foliosa,
153.5,-27.0,,Montipora foliosa,
146.88333,-18.48333,,Montipora foliosa,
147.75,-18.91667,,Montipora foliosa,
146.81666,-19.18333,,Montipora foliosa,
146.81666,-19.18333,,Montipora foliosa,
145.56666,-16.38333,,Montipora foliosa,
147.75,-18.91667,,Montipora foliosa,
146.88333,-18.48333,,Montipora foliosa,
144.03333,-11.61666,1979.0,Montipora foliosa,
147.75,-18.91667,,Montipora foliosa,
148.33333,-17.66667,,Montipora foliosa,
147.75,-18.91667,,Montipora foliosa,
147.75,-18.91667,,Montipora foliosa,
147.75,-18.91667,,Montipora foliosa,
147.75,-18.91667,,Montipora foliosa,
147.75,-18.91667,,Montipora foliosa,
144.03333,-11.61666,,Montipora foliosa,
146.88333,-18.48333,,Montipora foliosa,
147.75,-18.91667,,Montipora foliosa,
146.88333,-18.48333,,Montipora foliosa,
146.88333,-18.48333,,Montipora foliosa,
146.5,-18.66667,,Montipora foliosa,
146.43333,-18.81666,,Montipora foliosa,
143.78333,-12.13333,,Montipora foliosa,
146.88333,-18.48333,,Montipora foliosa,
146.88333,-18.48333,,Montipora foliosa,
147.75,-18.91667,,Montipora foliosa,
147.75,-18.91667,,Montipora foliosa,
151.73333,-17.41667,,Montipora foliosa,
144.0,-11.7,,Montipora foliosa,
143.95,-13.16667,1979.0,Montipora foliosa,
146.51667,-18.68333,,Montipora foliosa,
143.78333,-12.13333,,Montipora foliosa,
146.56666,-18.71667,,Montipora foliosa,
143.95,-13.16667,1979.0,Montipora foliosa,
152.41666,-21.5,,Montipora foliosa,
146.56666,-18.71667,,Montipora foliosa,
146.51667,-18.76667,,Montipora foliosa,
146.5,-18.66667,,Montipora foliosa,
145.61667,-14.6,,Montipora foliosa,
144.03333,-11.61666,1979.0,Montipora foliosa,
146.56666,-18.66667,,Montipora foliosa,
143.46667,-11.91667,1979.0,Montipora foliosa,
143.78333,-12.13333,,Montipora foliosa,
144.03333,-11.61666,1979.0,Montipora foliosa,
143.78333,-12.13333,,Montipora foliosa,
146.56666,-18.71667,,Montipora foliosa,
144.03333,-11.61666,1979.0,Montipora foliosa,
145.56666,-16.38333,,Montipora foliosa,
146.56666,-18.66667,,Montipora foliosa,
146.5,-18.66667,,Montipora foliosa,
144.03333,-11.61666,1979.0,Montipora foliosa,
144.03333,-11.61666,1979.0,Montipora foliosa,
146.56666,-18.66667,,Montipora foliosa,
146.53333,-18.78333,,Montipora foliosa,
146.56666,-18.66667,,Montipora foliosa,
146.56666,-18.71667,,Montipora foliosa,
146.53333,-18.78333,,Montipora foliosa,
146.56666,-18.78333,,Montipora foliosa,
143.16666,-9.86666,1979.0,Montipora foliosa,
146.56666,-18.71667,,Montipora foliosa,
146.5,-18.66667,,Montipora foliosa,
144.81666,-14.43333,,Montipora foliosa,
145.61667,-14.6,,Montipora foliosa,
145.56666,-16.38333,,Montipora foliosa,
144.96667,-14.51666,1979.0,Montipora foliosa,
145.56666,-16.38333,,Montipora foliosa,
143.46667,-11.91667,1979.0,Montipora foliosa,
146.56666,-18.66667,,Montipora foliosa,
146.53333,-18.78333,,Montipora foliosa,
151.95,-23.45,,Montipora foliosa,
151.95,-23.45,,Montipora foliosa,
151.95,-23.45,,Montipora foliosa,
151.95,-23.45,,Montipora foliosa,
151.95,-23.45,,Montipora foliosa,
151.91666,-23.45,,Montipora foliosa,
151.91666,-23.45,,Montipora foliosa,
151.91666,-23.45,,Montipora foliosa,
151.91666,-23.45,,Montipora foliosa,
151.95,-23.45,,Montipora foliosa,
151.95,-23.45,,Montipora foliosa,
151.95,-23.45,,Montipora foliosa,
151.95,-23.45,,Montipora foliosa,
151.95,-23.45,1996.0,Montipora foliosa,
151.95,-23.45,1997.0,Montipora foliosa,
151.95,-23.45,1997.0,Montipora foliosa,
151.95,-23.45,1997.0,Montipora foliosa,
146.63333,-19.025,2004.0,Montipora foliosa,
156.83333,-8.11666,1999.0,Montipora foliosa,
165.525,11.625,2002.0,Montipora foliosa,
